batch,pie,donut,bar,total
batch0,144,769,501,1414
batch1,144,432,647,1223
batch2,144,396,673,1213
batch3,144,336,673,1153
batch4,144,336,677,1157
batch5,144,324,691,1159
batch6,120,300,690,1110
batch7,108,288,677,1073
batch8,108,288,695,1091
batch9,104,264,682,1050
batch10,100,264,686,1050
batch11,96,256,709,1061
batch12,96,252,689,1037
batch13,96,252,688,1036
batch14,96,252,719,1067
batch15,96,228,702,1026
batch16,88,224,714,1026
batch17,84,224,713,1021
batch18,80,224,720,1024
batch19,72,216,701,989
batch20,72,216,725,1013
batch21,72,216,721,1009
batch22,72,216,755,1043
batch23,72,216,740,1028
batch24,72,208,762,1042
batch25,72,204,775,1051
batch26,72,200,776,1048
batch27,72,192,749,1013
batch28,64,192,749,1005
batch29,64,192,778,1034
batch30,60,180,778,1018
batch31,56,168,789,1013
batch32,52,168,781,1001
batch33,48,168,820,1036
batch34,48,168,818,1034
batch35,48,168,800,1016
batch36,48,168,831,1047
batch37,48,168,828,1044
batch38,48,167,840,1055
batch39,48,160,837,1045
batch40,48,156,819,1023
batch41,48,156,825,1029
batch42,48,152,823,1023
batch43,48,151,857,1056
batch44,48,147,860,1055
batch45,48,144,839,1031
batch46,40,144,857,1041
batch47,36,138,863,1037
batch48,36,132,870,1038
batch49,36,128,864,1028
batch50,36,128,892,1056
batch51,36,126,895,1057
batch52,36,126,868,1030
batch53,36,124,891,1051
batch54,36,120,881,1037
batch55,36,120,909,1065
batch56,36,117,902,1055
batch57,36,117,913,1066
batch58,36,114,910,1060
batch59,36,114,914,1064
batch60,32,112,929,1073
batch61,32,108,921,1061
batch62,32,104,899,1035
batch63,32,104,931,1067
batch64,32,104,915,1051
batch65,32,96,902,1030
batch66,32,96,950,1078
batch67,32,96,909,1037
batch68,28,96,979,1103
batch69,28,96,955,1079
batch70,28,96,944,1068
batch71,24,96,987,1107
batch72,24,96,973,1093
batch73,24,96,1009,1129
batch74,24,96,992,1112
batch75,24,90,1074,1188
batch76,24,88,1029,1141
batch77,24,81,1048,1153
batch78,24,78,1026,1128
batch79,24,78,1068,1170
batch80,24,78,1084,1186
batch81,24,78,1091,1193
batch82,24,74,1078,1176
batch83,24,72,1121,1217
batch84,24,72,1102,1198
batch85,24,64,1128,1216
batch86,24,64,1159,1247
batch87,24,63,1160,1247
batch88,24,60,1140,1224
batch89,24,56,1188,1268
batch90,24,56,1202,1282
batch91,24,54,1213,1291
batch92,22,48,1194,1264
batch93,20,48,1204,1272
batch94,20,48,1238,1306
batch95,20,46,1215,1281
batch96,15,46,1257,1318
batch97,12,39,1313,1364
batch98,10,39,1285,1334
batch99,9,26,1293,1328
